구분,대여소명,,대여일자,대여건수,반납건수,위도,경도
마포구,101, (구)합정동 주민센터,201901,233,234,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201902,203,227,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201903,423,475,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201904,640,734,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201905,1068,1128,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201906,1104,1094,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201907,1050,1060,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201908,976,963,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201909,850,848,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201910,1045,1070,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201911,646,670,37.549561,126.905754
마포구,101, (구)합정동 주민센터,201912,424,396,37.549561,126.905754
마포구,101, (구)합정동 주민센터,202001,305,313,37.549561,126.905754
마포구,101, (구)합정동 주민센터,202002,308,307,37.549561,126.905754
마포구,101, (구)합정동 주민센터,202003,646,640,37.549561,126.905754
마포구,101, (구)합정동 주민센터,202004,758,757,37.549561,126.905754
마포구,101, (구)합정동 주민센터,202005,881,887,37.549561,126.905754
마포구,101, (구)합정동 주민센터,202006,995,976,37.549561,126.905754
마포구,102, 망원역 1번출구 앞,201901,766,825,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201902,758,693,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201903,1640,1654,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201904,2694,2520,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201905,4151,3800,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201906,4337,3973,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201907,3973,3646,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201908,4285,3900,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201909,3453,3336,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201910,4648,4266,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201911,2701,2567,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,201912,1537,1497,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,202001,1329,1294,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,202002,1296,1204,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,202003,2598,2516,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,202004,3428,3244,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,202005,3786,3583,37.555649,126.910629
마포구,102, 망원역 1번출구 앞,202006,4138,3858,37.555649,126.910629
마포구,103, 망원역 2번출구 앞,201901,600,626,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201902,574,595,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201903,1256,1303,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201904,1873,1852,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201905,2633,2490,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201906,2914,2790,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201907,2685,2581,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201908,2609,2393,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201909,2577,2540,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201910,3055,3024,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201911,1680,1653,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,201912,906,924,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,202001,772,831,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,202002,734,786,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,202003,1861,1913,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,202004,2636,2546,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,202005,3112,3060,37.554951,126.910835
마포구,103, 망원역 2번출구 앞,202006,3041,2992,37.554951,126.910835
마포구,104, 합정역 1번출구 앞,201901,647,589,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201902,633,537,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201903,1225,976,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201904,1561,1346,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201905,2456,2340,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201906,2443,2352,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201907,2323,2174,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201908,2007,1781,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201909,2163,2054,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201910,2596,2475,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201911,1896,1600,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,201912,1085,826,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,202001,905,707,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,202002,915,765,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,202003,1700,1555,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,202004,2183,2133,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,202005,2116,2104,37.550629,126.914986
마포구,104, 합정역 1번출구 앞,202006,2131,2101,37.550629,126.914986
마포구,105, 합정역 5번출구 앞,201901,417,302,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201902,430,293,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201903,757,564,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201904,1057,868,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201905,1373,1250,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201906,1404,1333,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201907,1178,1110,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201908,1096,1020,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201909,1137,1100,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201910,1370,1313,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201911,447,421,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,201912,481,399,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,202001,504,397,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,202002,445,404,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,202003,949,899,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,202004,1322,1302,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,202005,1537,1526,37.550007,126.914825
마포구,105, 합정역 5번출구 앞,202006,1515,1462,37.550007,126.914825
마포구,106, 합정역 7번출구 앞,201901,830,698,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201902,849,805,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201903,1831,1762,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201904,3556,3420,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201905,5278,5220,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201906,5258,5182,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201907,3899,3725,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201908,4297,4147,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201909,4602,4549,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201910,5510,5452,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201911,2844,2740,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,201912,1268,1133,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,202001,1109,1009,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,202002,1299,1304,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,202003,4332,4450,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,202004,6237,6280,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,202005,6221,6216,37.548645,126.912827
마포구,106, 합정역 7번출구 앞,202006,5561,5535,37.548645,126.912827
마포구,107, 신한은행 서교동금융센터점 앞,201901,884,1285,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201902,699,1013,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201903,1318,1847,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201904,1839,2402,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201905,2883,3364,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201906,3054,3529,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201907,3321,3779,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201908,3106,3515,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201909,2686,3155,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201910,3250,3866,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201911,2091,2574,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,201912,1208,1622,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,202001,1078,1453,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,202002,1059,1413,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,202003,1795,2172,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,202004,2491,2878,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,202005,2955,3137,37.55751,126.918503
마포구,107, 신한은행 서교동금융센터점 앞,202006,3231,3508,37.55751,126.918503
마포구,108, 서교동 사거리,201901,609,654,37.552746,126.918617
마포구,108, 서교동 사거리,201902,539,550,37.552746,126.918617
마포구,108, 서교동 사거리,201903,1077,1103,37.552746,126.918617
마포구,108, 서교동 사거리,201904,1497,1589,37.552746,126.918617
마포구,108, 서교동 사거리,201905,2211,2376,37.552746,126.918617
마포구,108, 서교동 사거리,201906,2362,2409,37.552746,126.918617
마포구,108, 서교동 사거리,201907,2135,2217,37.552746,126.918617
마포구,108, 서교동 사거리,201908,2079,2056,37.552746,126.918617
마포구,108, 서교동 사거리,201909,1879,1926,37.552746,126.918617
마포구,108, 서교동 사거리,201910,2246,2291,37.552746,126.918617
마포구,108, 서교동 사거리,201911,1592,1619,37.552746,126.918617
마포구,108, 서교동 사거리,201912,1016,1032,37.552746,126.918617
마포구,108, 서교동 사거리,202001,759,775,37.552746,126.918617
마포구,108, 서교동 사거리,202002,744,781,37.552746,126.918617
마포구,108, 서교동 사거리,202003,1329,1333,37.552746,126.918617
마포구,108, 서교동 사거리,202004,1831,1813,37.552746,126.918617
마포구,108, 서교동 사거리,202005,2017,2026,37.552746,126.918617
마포구,108, 서교동 사거리,202006,1985,2014,37.552746,126.918617
마포구,109, 제일빌딩 앞,201901,459,594,37.547691,126.919983
마포구,109, 제일빌딩 앞,201902,481,479,37.547691,126.919983
마포구,109, 제일빌딩 앞,201903,936,992,37.547691,126.919983
마포구,109, 제일빌딩 앞,201904,1600,1607,37.547691,126.919983
마포구,109, 제일빌딩 앞,201905,2587,2484,37.547691,126.919983
마포구,109, 제일빌딩 앞,201906,2589,2501,37.547691,126.919983
마포구,109, 제일빌딩 앞,201907,2414,2307,37.547691,126.919983
마포구,109, 제일빌딩 앞,201908,2291,2222,37.547691,126.919983
마포구,109, 제일빌딩 앞,201909,2265,2178,37.547691,126.919983
마포구,109, 제일빌딩 앞,201910,2713,2592,37.547691,126.919983
마포구,109, 제일빌딩 앞,201911,1434,1468,37.547691,126.919983
마포구,109, 제일빌딩 앞,201912,770,795,37.547691,126.919983
마포구,109, 제일빌딩 앞,202001,686,761,37.547691,126.919983
마포구,109, 제일빌딩 앞,202002,716,702,37.547691,126.919983
마포구,109, 제일빌딩 앞,202003,1584,1655,37.547691,126.919983
마포구,109, 제일빌딩 앞,202004,866,851,37.547691,126.919983
마포구,109, 제일빌딩 앞,202005,2351,2348,37.547691,126.919983
마포구,109, 제일빌딩 앞,202006,2459,2417,37.547691,126.919983
서대문구,110, 사천교,201901,272,153,#N/A,#N/A
서대문구,110, 사천교,201902,329,201,#N/A,#N/A
서대문구,110, 사천교,201903,628,397,#N/A,#N/A
서대문구,110, 사천교,201904,903,592,#N/A,#N/A
서대문구,110, 사천교,201905,1362,905,#N/A,#N/A
서대문구,110, 사천교,201906,1458,979,#N/A,#N/A
서대문구,110, 사천교,201907,1509,969,#N/A,#N/A
서대문구,110, 사천교,201908,1297,844,#N/A,#N/A
서대문구,110, 사천교,201909,1104,830,#N/A,#N/A
서대문구,110, 사천교,201910,1186,856,#N/A,#N/A
서대문구,110, 사천교,201911,908,581,#N/A,#N/A
서대문구,110, 사천교,201912,588,328,#N/A,#N/A
서대문구,110, 사천교,202001,458,309,#N/A,#N/A
서대문구,110, 사천교,202002,465,334,#N/A,#N/A
서대문구,110, 사천교,202003,792,615,#N/A,#N/A
서대문구,110, 사천교,202004,794,726,#N/A,#N/A
서대문구,110, 사천교,202005,859,772,#N/A,#N/A
서대문구,110, 사천교,202006,1042,795,#N/A,#N/A
마포구,111, 상수역 2번출구 앞,201901,391,307,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,201902,444,416,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,201903,1026,967,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,201904,1596,1454,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,201905,2334,2255,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,201906,2175,2092,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,201907,1921,1844,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,201908,1818,1749,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,201909,2010,1973,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,201910,2122,2086,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,201911,1210,1089,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,201912,541,455,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,202001,496,423,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,202002,523,498,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,202003,1719,1814,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,202004,2557,2710,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,202005,2325,2299,37.547871,126.923531
마포구,111, 상수역 2번출구 앞,202006,2111,2065,37.547871,126.923531
마포구,112, 극동방송국 앞,201901,399,352,37.549202,126.923203
마포구,112, 극동방송국 앞,201902,389,354,37.549202,126.923203
마포구,112, 극동방송국 앞,201903,954,936,37.549202,126.923203
마포구,112, 극동방송국 앞,201904,1588,1676,37.549202,126.923203
마포구,112, 극동방송국 앞,201905,2290,2223,37.549202,126.923203
마포구,112, 극동방송국 앞,201906,2180,2196,37.549202,126.923203
마포구,112, 극동방송국 앞,201907,1808,1753,37.549202,126.923203
마포구,112, 극동방송국 앞,201908,1517,1455,37.549202,126.923203
마포구,112, 극동방송국 앞,201909,1901,1905,37.549202,126.923203
마포구,112, 극동방송국 앞,201910,2140,2136,37.549202,126.923203
마포구,112, 극동방송국 앞,201911,1245,1258,37.549202,126.923203
마포구,112, 극동방송국 앞,201912,624,628,37.549202,126.923203
마포구,112, 극동방송국 앞,202001,493,527,37.549202,126.923203
마포구,112, 극동방송국 앞,202002,496,484,37.549202,126.923203
마포구,112, 극동방송국 앞,202003,1082,1141,37.549202,126.923203
마포구,112, 극동방송국 앞,202004,1667,1634,37.549202,126.923203
마포구,112, 극동방송국 앞,202005,1547,1544,37.549202,126.923203
마포구,112, 극동방송국 앞,202006,1580,1548,37.549202,126.923203
마포구,113, 홍대입구역 2번출구 앞,201901,2313,3132,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,201902,2072,2748,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,201903,4414,5572,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,201904,5407,7112,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,201905,8378,10214,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,201906,8894,10453,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,201907,7889,9376,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,201908,7690,8443,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,201909,7388,8286,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,201910,9047,10365,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,201911,6036,7334,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,201912,3681,4322,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,202001,2864,3566,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,202002,2676,3460,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,202003,4690,5330,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,202004,6534,7068,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,202005,6818,7164,37.557499,126.923805
마포구,113, 홍대입구역 2번출구 앞,202006,6583,7436,37.557499,126.923805
마포구,114, 홍대입구역 8번출구 앞,201901,966,1121,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,201902,868,956,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,201903,1719,2069,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,201904,2640,2899,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,201905,4004,4177,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,201906,4203,4348,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,201907,3515,3664,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,201908,3385,3441,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,201909,3282,3387,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,201910,4004,4146,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,201911,2491,2652,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,201912,1465,1518,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,202001,1289,1317,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,202002,1125,1231,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,202003,2188,2185,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,202004,3242,3215,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,202005,3462,3448,37.55706,126.924423
마포구,114, 홍대입구역 8번출구 앞,202006,3212,3165,37.55706,126.924423
서대문구,115, 사루비아 빌딩 앞,201901,637,546,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,201902,553,519,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,201903,991,913,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,201904,1493,1301,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,201905,2018,1740,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,201906,2118,1945,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,201907,2046,1797,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,201908,1838,1618,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,201909,1557,1460,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,201910,1987,1843,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,201911,1415,1159,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,201912,912,699,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,202001,795,640,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,202002,689,533,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,202003,1062,899,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,202004,1376,1273,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,202005,1375,1348,37.558933,126.927116
서대문구,115, 사루비아 빌딩 앞,202006,1155,1110,37.558933,126.927116
서대문구,116, 일진아이윌아파트 옆,201901,712,947,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,201902,570,766,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,201903,1109,1348,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,201904,1372,1568,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,201905,2164,2246,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,201906,2478,2520,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,201907,2146,2325,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,201908,2351,2456,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,201909,2019,2110,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,201910,2315,2469,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,201911,1331,1569,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,201912,917,1133,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,202001,789,905,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,202002,734,797,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,202003,1335,1410,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,202004,1937,1935,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,202005,2313,2309,37.564541,126.927071
서대문구,116, 일진아이윌아파트 옆,202006,2287,2306,37.564541,126.927071
서대문구,117, 홍은사거리,201903,40,32,37.59116,126.94133
서대문구,117, 홍은사거리,201904,1792,1744,37.59116,126.94133
서대문구,117, 홍은사거리,201905,3227,3213,37.59116,126.94133
서대문구,117, 홍은사거리,201906,3760,3786,37.59116,126.94133
서대문구,117, 홍은사거리,201907,3403,3281,37.59116,126.94133
서대문구,117, 홍은사거리,201908,2986,3005,37.59116,126.94133
서대문구,117, 홍은사거리,201909,3093,3093,37.59116,126.94133
서대문구,117, 홍은사거리,201910,3545,3479,37.59116,126.94133
서대문구,117, 홍은사거리,201911,1920,1940,37.59116,126.94133
서대문구,117, 홍은사거리,201912,1006,959,37.59116,126.94133
서대문구,117, 홍은사거리,202001,1026,954,37.59116,126.94133
서대문구,117, 홍은사거리,202002,1031,1008,37.59116,126.94133
서대문구,117, 홍은사거리,202003,2966,2905,37.59116,126.94133
서대문구,117, 홍은사거리,202004,4118,4112,37.59116,126.94133
서대문구,117, 홍은사거리,202005,4509,4514,37.59116,126.94133
서대문구,117, 홍은사거리,202006,4873,4896,37.59116,126.94133
마포구,118, 광흥창역 2번출구 앞,201901,539,542,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,201902,415,465,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,201903,920,871,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,201904,1357,1256,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,201905,1925,1767,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,201906,1865,1725,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,201907,1827,1705,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,201908,1747,1712,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,201909,1672,1612,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,201910,1853,1723,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,201911,1192,1148,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,201912,701,741,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,202001,663,686,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,202002,595,656,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,202003,1268,1275,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,202004,1508,1505,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,202005,1587,1603,37.547733,126.931763
마포구,118, 광흥창역 2번출구 앞,202006,1724,1655,37.547733,126.931763
마포구,119, 서강나루 공원,201901,319,438,37.545284,126.931053
마포구,119, 서강나루 공원,201902,280,400,37.545284,126.931053
마포구,119, 서강나루 공원,201903,682,807,37.545284,126.931053
마포구,119, 서강나루 공원,201904,1206,1397,37.545284,126.931053
마포구,119, 서강나루 공원,201905,1888,1951,37.545284,126.931053
마포구,119, 서강나루 공원,201906,2066,2092,37.545284,126.931053
마포구,119, 서강나루 공원,201907,1632,1683,37.545284,126.931053
마포구,119, 서강나루 공원,201908,1615,1630,37.545284,126.931053
마포구,119, 서강나루 공원,201909,1840,1849,37.545284,126.931053
마포구,119, 서강나루 공원,201910,2014,2154,37.545284,126.931053
마포구,119, 서강나루 공원,201911,1059,1175,37.545284,126.931053
마포구,119, 서강나루 공원,201912,500,583,37.545284,126.931053
마포구,119, 서강나루 공원,202001,511,577,37.545284,126.931053
마포구,119, 서강나루 공원,202002,474,541,37.545284,126.931053
마포구,119, 서강나루 공원,202003,1343,1488,37.545284,126.931053
마포구,119, 서강나루 공원,202004,2062,2093,37.545284,126.931053
마포구,119, 서강나루 공원,202005,2367,2376,37.545284,126.931053
마포구,119, 서강나루 공원,202006,2349,2360,37.545284,126.931053
마포구,120, 신수동 사거리,201901,263,282,37.545242,126.934113
마포구,120, 신수동 사거리,201902,177,213,37.545242,126.934113
마포구,120, 신수동 사거리,201903,373,373,37.545242,126.934113
마포구,120, 신수동 사거리,201904,513,514,37.545242,126.934113
마포구,120, 신수동 사거리,201905,757,759,37.545242,126.934113
마포구,120, 신수동 사거리,201906,804,833,37.545242,126.934113
마포구,120, 신수동 사거리,201907,785,768,37.545242,126.934113
마포구,120, 신수동 사거리,201908,784,784,37.545242,126.934113
마포구,120, 신수동 사거리,201909,690,701,37.545242,126.934113
마포구,120, 신수동 사거리,201910,819,843,37.545242,126.934113
마포구,120, 신수동 사거리,201911,570,580,37.545242,126.934113
마포구,120, 신수동 사거리,201912,315,302,37.545242,126.934113
마포구,120, 신수동 사거리,202001,268,266,37.545242,126.934113
마포구,120, 신수동 사거리,202002,235,233,37.545242,126.934113
마포구,120, 신수동 사거리,202003,426,436,37.545242,126.934113
마포구,120, 신수동 사거리,202004,611,621,37.545242,126.934113
마포구,120, 신수동 사거리,202005,656,663,37.545242,126.934113
마포구,120, 신수동 사거리,202006,605,618,37.545242,126.934113
마포구,121, 마포소방서 앞,201901,325,389,37.549767,126.933174
마포구,121, 마포소방서 앞,201902,309,334,37.549767,126.933174
마포구,121, 마포소방서 앞,201903,582,630,37.549767,126.933174
마포구,121, 마포소방서 앞,201904,734,751,37.549767,126.933174
마포구,121, 마포소방서 앞,201905,1128,967,37.549767,126.933174
마포구,121, 마포소방서 앞,201906,1159,985,37.549767,126.933174
마포구,121, 마포소방서 앞,201907,999,860,37.549767,126.933174
마포구,121, 마포소방서 앞,201908,954,836,37.549767,126.933174
마포구,121, 마포소방서 앞,201909,906,787,37.549767,126.933174
마포구,121, 마포소방서 앞,201910,1270,1122,37.549767,126.933174
마포구,121, 마포소방서 앞,201911,733,835,37.549767,126.933174
마포구,121, 마포소방서 앞,201912,406,429,37.549767,126.933174
마포구,121, 마포소방서 앞,202001,340,391,37.549767,126.933174
마포구,121, 마포소방서 앞,202002,360,421,37.549767,126.933174
마포구,121, 마포소방서 앞,202003,739,738,37.549767,126.933174
마포구,121, 마포소방서 앞,202004,941,877,37.549767,126.933174
마포구,121, 마포소방서 앞,202005,1008,910,37.549767,126.933174
마포구,121, 마포소방서 앞,202006,1217,1087,37.549767,126.933174
마포구,122, 신성기사식당 앞,201901,421,412,37.547459,126.938377
마포구,122, 신성기사식당 앞,201902,405,368,37.547459,126.938377
마포구,122, 신성기사식당 앞,201903,782,758,37.547459,126.938377
마포구,122, 신성기사식당 앞,201904,1004,1101,37.547459,126.938377
마포구,122, 신성기사식당 앞,201905,1528,1573,37.547459,126.938377
마포구,122, 신성기사식당 앞,201906,1475,1475,37.547459,126.938377
