기준연월,구,사고건수,사망자수,부상자수
2017년 5월,강서구,12,0,15
2017년 6월,강서구,16,1,17
2017년 7월,강서구,10,1,10
2017년 8월,강서구,8,0,9
2017년 9월,강서구,5,0,6
2017년 10월,강서구,8,0,8
2017년 11월,강서구,4,0,4
2017년 12월,강서구,3,0,3
2018년 1월,강서구,3,0,3
2018년 2월,강서구,1,0,1
2018년 3월,강서구,2,0,2
2018년 4월,강서구,4,0,4
2018년 5월,강서구,6,1,5
2018년 6월,강서구,8,0,8
2018년 7월,강서구,8,0,8
2018년 8월,강서구,9,0,9
2018년 9월,강서구,4,0,4
2018년 10월,강서구,7,0,8
2018년 11월,강서구,6,0,6
2018년 12월,강서구,1,0,1
2019년 1월,강서구,4,0,4
2019년 2월,강서구,6,0,7
2019년 3월,강서구,2,0,3
2019년 4월,강서구,2,0,2
2019년 5월,강서구,3,0,3
2019년 6월,강서구,8,0,9
2019년 7월,강서구,3,0,3
2019년 8월,강서구,14,0,16
2019년 9월,강서구,10,0,11
2019년 10월,강서구,8,0,9
2019년 11월,강서구,8,0,8
2019년 12월,강서구,4,0,4
2020년 1월,강서구,1,0,1
2020년 2월,강서구,4,0,4
2020년 3월,강서구,2,0,2
2020년 4월,강서구,6,0,6
2020년 5월,강서구,8,0,9
2020년 6월,강서구,14,0,16
2020년 7월,강서구,6,0,6
2020년 8월,강서구,8,0,9
2020년 9월,강서구,7,0,9
2020년 10월,강서구,7,0,7
2020년 11월,강서구,4,0,4
2020년 12월,강서구,6,0,6
2016년 1월,구로구,4,1,3
2016년 2월,구로구,0,0,0
2016년 3월,구로구,5,0,5
2016년 4월,구로구,10,0,11
2016년 5월,구로구,5,0,5
2016년 6월,구로구,7,0,7
2016년 7월,구로구,7,0,8
2016년 8월,구로구,16,0,17
2016년 9월,구로구,10,0,14
2016년 10월,구로구,9,0,10
2016년 11월,구로구,8,0,8
2016년 12월,구로구,3,1,2
2017년 1월,구로구,2,0,2
2017년 2월,구로구,0,0,0
2017년 3월,구로구,6,0,6
2017년 4월,구로구,3,0,3
2017년 5월,구로구,6,0,7
2017년 6월,구로구,4,0,4
2017년 7월,구로구,1,0,1
2017년 8월,구로구,4,0,4
2017년 9월,구로구,4,0,4
2017년 10월,구로구,9,0,9
2017년 11월,구로구,6,0,6
2017년 12월,구로구,4,0,5
